on x=-46..2,y=-26..20,z=-39..5
on x=0..44,y=-44..0,z=-19..32
on x=-44..10,y=-20..28,z=4..48
on x=-12..39,y=-35..9,z=-12..36
on x=-20..31,y=-15..36,z=-44..2
on x=-18..36,y=-43..8,z=-12..41
on x=-24..27,y=-5..39,z=-30..24
on x=-40..4,y=-20..28,z=-33..14
on x=-16..30,y=-16..31,z=-12..32
on x=-3..48,y=-27..18,z=-5..39
off x=-37..-22,y=24..41,z=20..38
on x=-33..16,y=2..49,z=-46..4
off x=-9..2,y=29..41,z=-45..-32
on x=-7..44,y=-27..22,z=-40..6
off x=-43..-30,y=17..27,z=-43..-34
on x=-13..35,y=-19..25,z=-45..2
off x=31..45,y=36..49,z=12..28
on x=-16..33,y=-20..27,z=-34..16
off x=-43..-30,y=-1..17,z=2..13
on x=-7..47,y=-8..39,z=-2..44
on x=-51481..-16686,y=-55882..-41735,z=31858..57273
on x=62605..83371,y=-20326..7404,z=721..31101
on x=52622..66892,y=-53993..-42390,z=-32377..-15062
on x=32723..65065,y=-77593..-55363,z=-14922..15024
on x=-19522..-12277,y=-93093..-59799,z=23811..37917
on x=71595..92156,y=-44022..-19835,z=16005..34327
on x=-3586..34080,y=2703..21691,z=-92268..-61619
on x=-15386..715,y=73535..97744,z=-8553..16939
on x=-36770..-25752,y=71882..77753,z=-22483..5934
on x=-87151..-59512,y=-52304..-38677,z=-6844..14195
on x=-49843..-11520,y=-59097..-36023,z=-68112..-44642
on x=-54750..-35235,y=-65545..-48408,z=8090..44796
on x=-94375..-72818,y=9788..29493,z=-9581..832
on x=7678..15728,y=-72950..-37506,z=43639..74189
on x=-2150..1370,y=-47547..-22907,z=67903..86640
on x=30996..54239,y=58993..70521,z=10200..33219
on x=11010..19912,y=-82111..-52326,z=-59754..-28912
on x=21482..32440,y=-86476..-62698,z=14238..24595
on x=75846..79807,y=-34167..-20170,z=-5351..13100
on x=-57020..-37686,y=43544..67110,z=-37496..-30899
on x=14662..49584,y=-58025..-40735,z=-47292..-41465
on x=-63346..-55137,y=21250..38290,z=33568..51615
on x=-85269..-67041,y=-25194..571,z=-52696..-14325
on x=-54438..-31138,y=-25222..3408,z=-74478..-51576
on x=-55260..-36337,y=-36146..-21397,z=52332..57160
on x=-65984..-51756,y=-1513..8161,z=46328..64968
on x=28910..41579,y=-63016..-52977,z=-61128..-33613
on x=-46241..-27998,y=52847..77588,z=6053..16826
on x=-58382..-31024,y=-25378..11770,z=62336..77861
on x=14836..43351,y=43097..66395,z=26797..52340
on x=-2107..15942,y=-94637..-77185,z=-12264..-1486
on x=52176..62331,y=-18190..8633,z=40476..60619
on x=57517..70517,y=-13924..4531,z=46436..67802
on x=-21645..-1991,y=-50529..-11513,z=59680..91420
on x=-60101..-36307,y=11413..32936,z=-79198..-42467
on x=-27245..-11982,y=12680..44262,z=61571..82539
on x=62043..80570,y=-16742..15490,z=41267..54928
on x=-48117..-37581,y=34828..44610,z=-59598..-49709
on x=59522..87726,y=-16741..-1638,z=-37838..-7715
on x=-40860..-21613,y=-63238..-50545,z=38865..68651
on x=-53664..-45002,y=43993..64127,z=-50526..-32706
